log_id,sensor_id,timestamp,value,data_quality
1,132,04:15.4,1.2065,Missing
2,468,50:09.2,81.5908,Suspect
3,550,42:00.7,84.3707,Missing
4,711,09:31.2,41.3044,Suspect
5,482,22:10.7,70.4307,Good
6,400,28:03.0,72.8098,Missing
7,376,53:03.2,27.9342,Good
8,495,09:39.7,21.7747,Missing
9,395,49:28.3,18.0987,Missing
10,68,39:37.4,85.8568,Suspect
11,826,03:58.1,44.2157,Suspect
12,910,32:21.8,71.2023,Suspect
13,558,48:08.2,21.3649,Suspect
14,501,46:53.1,51.232,Suspect
15,272,11:44.7,69.5581,Good
16,677,17:07.4,15.1589,Missing
17,218,18:52.9,71.7497,Missing
18,477,05:29.3,25.2349,Good
19,319,06:43.4,65.2921,Missing
20,514,56:25.2,41.1672,Good
21,103,58:48.0,96.822,Suspect
22,332,05:07.4,16.0501,Missing
23,746,17:32.4,98.8231,Missing
24,122,36:39.1,80.375,Suspect
25,812,43:37.3,16.1364,Suspect
26,313,07:43.9,13.6754,Missing
27,247,09:37.9,13.4596,Suspect
28,780,48:38.0,10.1531,Good
29,407,04:42.3,27.6757,Good
30,123,31:53.2,77.179,Suspect
31,782,56:06.4,90.1246,Missing
32,829,07:52.9,76.3712,Good
33,237,39:25.2,73.5042,Good
34,971,17:02.8,57.4413,Suspect
35,767,07:58.2,2.7676,Good
36,293,21:46.6,71.4907,Suspect
37,424,43:10.1,19.1552,Suspect
38,414,57:03.6,51.5885,Good
39,178,39:35.3,3.4432,Suspect
40,717,08:07.9,40.2889,Missing
41,312,18:56.8,69.9518,Good
42,314,26:39.1,59.916,Missing
43,893,17:11.5,76.4563,Missing
44,462,23:02.0,82.2261,Missing
45,929,36:11.3,12.2241,Missing
46,60,54:26.6,45.6634,Suspect
47,245,08:22.2,87.9325,Missing
48,320,57:21.0,74.4483,Good
49,282,00:59.9,15.7039,Missing
50,77,31:03.4,91.5856,Good
51,223,52:06.4,17.29,Suspect
52,757,02:05.9,81.8319,Suspect
53,171,50:57.0,35.0161,Missing
54,769,54:08.5,92.9912,Missing
55,370,20:35.0,8.4278,Suspect
56,41,13:52.9,56.0311,Good
57,630,20:48.5,67.651,Missing
58,411,05:04.4,70.392,Good
59,245,33:28.7,66.4843,Missing
60,40,35:47.8,51.4674,Suspect
61,184,18:55.1,70.166,Missing
62,129,37:16.9,1.9714,Good
63,412,37:48.5,88.4159,Missing
64,670,39:13.1,22.9072,Suspect
65,595,25:26.4,33.1537,Missing
66,331,37:00.4,31.1672,Missing
67,472,26:02.6,30.3467,Missing
68,433,33:51.0,45.5021,Good
69,864,01:35.9,47.8922,Good
70,965,35:35.7,77.2405,Suspect
71,697,27:28.7,3.9761,Suspect
72,806,10:37.8,20.3687,Suspect
73,72,49:01.6,70.1631,Suspect
74,635,55:28.7,6.7946,Suspect
75,184,12:34.2,57.4043,Good
76,879,41:24.9,20.7404,Suspect
77,294,37:25.1,81.9402,Suspect
78,385,37:42.0,48.419,Good
79,386,24:45.8,71.0184,Missing
80,590,48:55.8,12.66,Missing
81,907,02:06.4,93.053,Missing
82,259,09:19.4,21.0297,Missing
