SensorID,DeviceID,SensorType,Unit,CalibrationDate,Weather
1,166,SoilMoisture,°C,2022-12-29,Windy
2,367,CropHealth,pH,2021-06-08,Cloudy
3,75,Temperature,%,2021-04-05,Cloudy
4,67,Temperature,°C,2022-12-25,Sunny
5,79,Temperature,%,2021-04-06,Sunny
6,452,CropHealth,pH,2022-07-26,Snowy
7,24,Temperature,°C,2020-01-14,Sunny
8,22,CropHealth,%,2022-11-17,Windy
9,469,Humidity,%,2021-02-02,Windy
10,466,SoilMoisture,pH,2021-02-21,Cloudy
11,317,SoilMoisture,pH,2021-08-01,Windy
12,72,Temperature,pH,2020-02-02,Rainy
13,452,Humidity,°C,2022-03-28,Rainy
14,234,Temperature,°C,2020-01-07,Cloudy
15,213,SoilMoisture,%,2020-12-31,Rainy
16,285,Temperature,pH,2022-05-20,Cloudy
17,257,Temperature,pH,2021-02-20,Snowy
18,262,Temperature,pH,2021-01-24,Windy
19,349,SoilMoisture,%,2022-07-12,Windy
20,480,Temperature,°C,2022-11-16,Windy
21,30,CropHealth,°C,2022-02-19,Snowy
22,235,Temperature,%,2020-02-22,Sunny
23,446,Humidity,°C,2022-02-10,Rainy
24,225,Humidity,°C,2022-10-24,Rainy
25,457,SoilMoisture,pH,2022-10-01,Windy
26,263,Temperature,°C,2022-06-30,Windy
27,82,Temperature,%,2021-07-09,Windy
28,3,SoilMoisture,%,2022-08-28,Sunny
29,55,SoilMoisture,%,2021-10-07,Sunny
30,396,CropHealth,°C,2022-09-30,Sunny
31,369,CropHealth,°C,2022-03-30,Sunny
32,74,SoilMoisture,%,2021-10-17,Sunny
33,50,CropHealth,°C,2020-12-12,Snowy
34,486,Humidity,%,2022-08-03,Cloudy
35,434,Humidity,°C,2021-02-17,Rainy
36,236,CropHealth,pH,2021-07-10,Snowy
37,6,Humidity,°C,2022-10-14,Snowy
38,228,Humidity,pH,2022-07-25,Snowy
39,461,CropHealth,%,2020-05-02,Snowy
40,342,SoilMoisture,%,2020-03-16,Windy
41,231,Humidity,°C,2021-03-06,Rainy
42,247,Temperature,%,2022-11-17,Windy
43,33,Temperature,pH,2021-02-22,Windy
44,377,CropHealth,%,2021-02-23,Cloudy
45,371,CropHealth,°C,2022-02-07,Cloudy
46,195,Temperature,pH,2022-06-25,Rainy
47,124,CropHealth,°C,2020-05-30,Rainy
48,319,Humidity,°C,2020-02-01,Sunny
49,47,Humidity,%,2022-04-01,Rainy
